system,numa,vCPU,bs,dt,in_size,out_size,model,index,time
sgx,1s,16,1bs,bf16,512,128,7B,4,26.927985
sgx,1s,16,1bs,bf16,512,128,7B,5,26.871771
sgx,1s,16,1bs,bf16,512,128,7B,6,26.946817
sgx,1s,16,1bs,bf16,512,128,7B,7,26.883018
sgx,1s,16,1bs,bf16,512,128,7B,8,26.905934
sgx,1s,16,1bs,bf16,512,128,7B,9,26.932561
sgx,1s,16,1bs,bf16,512,128,7B,10,26.912349
sgx,1s,16,1bs,bf16,512,128,7B,11,26.872383
sgx,1s,16,1bs,bf16,512,128,7B,12,26.87185
sgx,1s,16,1bs,bf16,512,128,7B,13,26.955627
sgx,1s,16,1bs,bf16,512,128,7B,14,26.874282
sgx,1s,16,1bs,bf16,512,128,7B,15,26.972101
sgx,1s,16,1bs,bf16,512,128,7B,16,26.98483
sgx,1s,16,1bs,bf16,512,128,7B,17,26.777406
sgx,1s,16,1bs,bf16,512,128,7B,18,26.845034
sgx,1s,16,1bs,bf16,512,128,7B,19,26.692313
sgx,1s,16,1bs,bf16,512,128,7B,20,26.659909
sgx,1s,16,1bs,bf16,512,128,7B,21,26.702612
sgx,1s,16,1bs,bf16,512,128,7B,22,26.711765
sgx,1s,16,1bs,bf16,512,128,7B,23,26.825614
sgx,1s,16,1bs,bf16,512,128,7B,24,26.756816
sgx,1s,16,1bs,bf16,512,128,7B,25,26.736936
sgx,1s,16,1bs,bf16,512,128,7B,26,26.847359
sgx,1s,16,1bs,bf16,512,128,7B,27,26.758753
sgx,1s,16,1bs,bf16,512,128,7B,28,26.798854
sgx,1s,16,1bs,bf16,512,128,7B,29,26.779533
sgx,1s,16,64bs,bf16,128,128,7B,0,649.204739
sgx,1s,16,64bs,bf16,128,128,7B,1,595.626557
sgx,1s,16,64bs,bf16,128,128,7B,2,595.367106
sgx,1s,16,64bs,bf16,128,128,7B,3,600.187901
sgx,1s,16,64bs,bf16,128,128,7B,4,604.236931
sgx,1s,16,64bs,bf16,128,128,7B,5,596.213594
sgx,1s,16,64bs,bf16,128,128,7B,6,597.674123
sgx,1s,16,64bs,bf16,128,128,7B,7,596.274328
sgx,1s,16,64bs,bf16,128,128,7B,8,596.804721
sgx,1s,16,64bs,bf16,128,128,7B,9,597.034022
sgx,1s,16,64bs,bf16,128,128,7B,10,598.855504
sgx,1s,16,64bs,bf16,128,128,7B,11,599.363192
sgx,1s,16,64bs,bf16,128,128,7B,12,609.743071
sgx,1s,16,64bs,bf16,128,128,7B,13,606.486686
sgx,1s,16,64bs,bf16,128,128,7B,14,614.284283
sgx,1s,16,64bs,bf16,128,128,7B,15,614.912452
sgx,1s,16,64bs,bf16,128,128,7B,16,603.047313
sgx,1s,16,64bs,bf16,128,128,7B,17,600.179273
sgx,1s,16,64bs,bf16,128,128,7B,18,597.240866
sgx,1s,16,64bs,bf16,128,128,7B,19,596.262807
sgx,1s,16,64bs,bf16,128,128,7B,20,595.873992
sgx,1s,16,64bs,bf16,128,128,7B,21,601.45434
sgx,1s,16,64bs,bf16,128,128,7B,22,600.641886
sgx,1s,16,64bs,bf16,128,128,7B,23,613.0371
sgx,1s,16,64bs,bf16,128,128,7B,24,611.037319
sgx,1s,16,64bs,bf16,128,128,7B,25,607.391835
sgx,1s,16,64bs,bf16,128,128,7B,26,601.706465
sgx,1s,16,64bs,bf16,128,128,7B,27,607.79766
sgx,1s,16,64bs,bf16,128,128,7B,28,610.239157
sgx,1s,16,64bs,bf16,128,128,7B,29,615.293583
sgx,1s,16,1bs,bf16,2048,128,7B,0,43.693793
sgx,1s,16,1bs,bf16,2048,128,7B,1,43.062454
sgx,1s,16,1bs,bf16,2048,128,7B,2,42.633672
sgx,1s,16,1bs,bf16,2048,128,7B,3,43.092105
sgx,1s,16,1bs,bf16,2048,128,7B,4,41.761465
sgx,1s,16,1bs,bf16,2048,128,7B,5,42.034137
sgx,1s,16,1bs,bf16,2048,128,7B,6,41.726925
sgx,1s,16,1bs,bf16,2048,128,7B,7,41.96015
sgx,1s,16,1bs,bf16,2048,128,7B,8,41.883651
sgx,1s,16,1bs,bf16,2048,128,7B,9,41.620918
sgx,1s,16,1bs,bf16,2048,128,7B,10,42.45127
sgx,1s,16,1bs,bf16,2048,128,7B,11,41.997995
sgx,1s,16,1bs,bf16,2048,128,7B,12,42.207516
sgx,1s,16,1bs,bf16,2048,128,7B,13,42.088152
sgx,1s,16,1bs,bf16,2048,128,7B,14,42.549733
sgx,1s,16,1bs,bf16,2048,128,7B,15,42.374918
sgx,1s,16,1bs,bf16,2048,128,7B,16,41.566923
sgx,1s,16,1bs,bf16,2048,128,7B,17,41.472938
sgx,1s,16,1bs,bf16,2048,128,7B,18,41.634323
sgx,1s,16,1bs,bf16,2048,128,7B,19,42.102056
sgx,1s,16,1bs,bf16,2048,128,7B,20,41.84161
sgx,1s,16,1bs,bf16,2048,128,7B,21,41.90568
sgx,1s,16,1bs,bf16,2048,128,7B,22,41.821813
sgx,1s,16,1bs,bf16,2048,128,7B,23,41.870094
sgx,1s,16,1bs,bf16,2048,128,7B,24,41.922192
sgx,1s,16,1bs,bf16,2048,128,7B,25,41.966552
sgx,1s,16,1bs,bf16,2048,128,7B,26,42.509907
sgx,1s,16,1bs,bf16,2048,128,7B,27,42.438812
sgx,1s,16,1bs,bf16,2048,128,7B,28,42.530556
sgx,1s,16,1bs,bf16,2048,128,7B,29,42.649761
sgx,1s,16,1bs,bf16,128,128,7B,0,23.598786
sgx,1s,16,1bs,bf16,128,128,7B,1,23.627679
sgx,1s,16,1bs,bf16,128,128,7B,2,23.599205
sgx,1s,16,1bs,bf16,128,128,7B,3,23.737161
sgx,1s,16,1bs,bf16,128,128,7B,4,23.818836
sgx,1s,16,1bs,bf16,128,128,7B,5,23.781853
